Year,Team,Opponent,Win,WinPct.x,Margin.x,OSRS.x,DSRS.x,WinPct.y,Margin.y,OSRS.y,DSRS.y
2014,Alabama,Ohio State,,0.923,20.5,9.43,12.05,0.923,24,11.74,6.11
2014,Oregon,Florida State,,0.9,23.8,15.47,7.97,1,11.8,11.43,4.4
2014,Alabama,Oregon,,0.923,20.5,9.43,12.05,0.9,23.8,15.47,7.97
2014,Alabama,Florida State,,0.923,20.5,9.43,12.05,1,11.8,11.43,4.4
2014,Ohio State,Oregon,,0.923,24,11.74,6.11,0.9,23.8,15.47,7.97
2014,Ohio State,Florida State,,0.923,24,11.74,6.11,1,11.8,11.43,4.4
